DATE,G17MVSFTTRUCKS
2020-02-01,104.68
2020-03-01,115.37
2020-04-01,97.76
2020-05-01,92.76
2020-06-01,103.80
2020-07-01,86.64
2020-08-01,102.03
2020-09-01,104.33
2020-10-01,110.02
2020-11-01,91.26
2020-12-01,91.30
2021-01-01,91.67
2021-02-01,105.28
2021-03-01,120.97
2021-04-01,96.81
2021-05-01,92.09
2021-06-01,103.26
2021-07-01,83.05
2021-08-01,107.05
2021-09-01,104.19
2021-10-01,104.65
2021-11-01,102.67
2021-12-01,91.68
2022-01-01,96.54
2022-02-01,105.78
2022-03-01,121.22
2022-04-01,91.04
2022-05-01,96.30
2022-06-01,102.60
2022-07-01,79.64
2022-08-01,112.12
2022-09-01,103.89
2022-10-01,104.37
2022-11-01,99.82
2022-12-01,91.76
2023-01-01,96.85
2023-02-01,106.26
2023-03-01,121.32
2023-04-01,85.57
2023-05-01,100.66
2023-06-01,101.90
